Layer#,Name,Type,Kernel,Stride,Padding,Groups,In_Ch,Out_Ch
1,conv0,Standard,3x3,1x1,"0,0,0,0",1,3,32
2,conv1/dw,Depthwise,3x3,1x1,"0,0,0,0",1,1,32
3,conv1,Pointwise,1x1,1x1,"0,0,0,0",1,32,64
4,conv2/dw,Depthwise,3x3,1x1,"0,0,0,0",1,1,64
5,conv2,Pointwise,1x1,1x1,"0,0,0,0",1,64,128
6,conv3/dw,Depthwise,3x3,1x1,"0,0,0,0",1,1,128
7,conv3,Pointwise,1x1,1x1,"0,0,0,0",1,128,128
8,conv4/dw,Depthwise,3x3,1x1,"0,0,0,0",1,1,128
9,conv4,Pointwise,1x1,1x1,"0,0,0,0",1,128,256
10,conv5/dw,Depthwise,3x3,1x1,"0,0,0,0",1,1,256
11,conv5,Pointwise,1x1,1x1,"0,0,0,0",1,256,256
12,conv6/dw,Depthwise,3x3,1x1,"0,0,0,0",1,1,256
13,conv6,Pointwise,1x1,1x1,"0,0,0,0",1,256,512
14,conv7/dw,Depthwise,3x3,1x1,"0,0,0,0",1,1,512
15,conv7,Pointwise,1x1,1x1,"0,0,0,0",1,512,512
16,conv8/dw,Depthwise,3x3,1x1,"0,0,0,0",1,1,512
17,conv8,Pointwise,1x1,1x1,"0,0,0,0",1,512,512
18,conv9/dw,Depthwise,3x3,1x1,"0,0,0,0",1,1,512
19,conv9,Pointwise,1x1,1x1,"0,0,0,0",1,512,512
20,conv10/dw,Depthwise,3x3,1x1,"0,0,0,0",1,1,512
21,conv10,Pointwise,1x1,1x1,"0,0,0,0",1,512,512
22,conv11/dw,Depthwise,3x3,1x1,"0,0,0,0",1,1,512
23,conv11,Pointwise,1x1,1x1,"0,0,0,0",1,512,512
24,conv12/dw,Depthwise,3x3,1x1,"0,0,0,0",1,1,512
25,conv12,Pointwise,1x1,1x1,"0,0,0,0",1,512,1024
26,conv13/dw,Depthwise,3x3,1x1,"0,0,0,0",1,1,1024
27,conv13,Pointwise,1x1,1x1,"0,0,0,0",1,1024,1024
28,conv14_1,Pointwise,1x1,1x1,"0,0,0,0",1,1024,256
29,conv14_2,Standard,3x3,1x1,"0,0,0,0",1,256,512
30,conv15_1,Pointwise,1x1,1x1,"0,0,0,0",1,512,128
31,conv15_2,Standard,3x3,1x1,"0,0,0,0",1,128,256
32,conv16_1,Pointwise,1x1,1x1,"0,0,0,0",1,256,128
33,conv16_2,Standard,3x3,1x1,"0,0,0,0",1,128,256
34,conv17_1,Pointwise,1x1,1x1,"0,0,0,0",1,256,64
35,conv17_2,Standard,3x3,1x1,"0,0,0,0",1,64,128
36,conv11_mbox_loc,Pointwise,1x1,1x1,"0,0,0,0",1,512,12
37,conv11_mbox_conf,Pointwise,1x1,1x1,"0,0,0,0",1,512,63
38,conv13_mbox_loc,Pointwise,1x1,1x1,"0,0,0,0",1,1024,24
39,conv13_mbox_conf,Pointwise,1x1,1x1,"0,0,0,0",1,1024,126
40,conv14_2_mbox_loc,Pointwise,1x1,1x1,"0,0,0,0",1,512,24
41,conv14_2_mbox_conf,Pointwise,1x1,1x1,"0,0,0,0",1,512,126
42,conv15_2_mbox_loc,Pointwise,1x1,1x1,"0,0,0,0",1,256,24
43,conv15_2_mbox_conf,Pointwise,1x1,1x1,"0,0,0,0",1,256,126
44,conv16_2_mbox_loc,Pointwise,1x1,1x1,"0,0,0,0",1,256,24
45,conv16_2_mbox_conf,Pointwise,1x1,1x1,"0,0,0,0",1,256,126
46,conv17_2_mbox_loc,Pointwise,1x1,1x1,"0,0,0,0",1,128,24
47,conv17_2_mbox_conf,Pointwise,1x1,1x1,"0,0,0,0",1,128,126
